date,pe
2026-09-01,32.81
2026-08-01,33.57
2026-07-01,36.05
2026-06-01,42.16
2026-05-01,39.79
2026-04-01,36.77
2026-03-01,32.45
2026-02-01,34.61
2026-01-01,34.29
2025-12-01,34.21
2025-11-01,33.21
2025-10-01,34.3
2025-09-01,35.31
2025-08-01,34.94
2025-07-01,35.12
2025-06-01,35.61
2025-05-01,34.57
2025-04-01,32.9
2025-03-01,31.13
2025-02-01,33.95
2025-01-01,35.09
2024-12-01,34.18
2024-11-01,35.6
2024-10-01,34.42
2024-09-01,33.9
2024-08-01,33.08
2024-07-01,32.72
2024-06-01,33.75
2024-05-01,31.79
2024-04-01,29.9
2024-03-01,32.48
2024-02-01,32.11
2024-01-01,30.49
2023-12-01,34.57
2023-11-01,32.77
2023-10-01,29.61
2023-09-01,31.67
2023-08-01,33.36
2023-07-01,33.91
2023-06-01,32.66
2023-05-01,33.33
2023-04-01,30.96
2023-03-01,30.81
2023-02-01,28.26
2023-01-01,28.4
2022-12-01,23.97
2022-11-01,26.36
2022-10-01,24.99
2022-09-01,24.04
2022-08-01,25.46
2022-07-01,26.85
2022-06-01,23.85
2022-05-01,24.41
2022-04-01,24.82
2022-03-01,28.65
2022-02-01,27.11
2022-01-01,28.42
2021-12-01,31.08
2021-11-01,32.07
2021-10-01,31.51
2021-09-01,29.19
2021-08-01,32.42
2021-07-01,31.13
2021-06-01,30.28
2021-05-01,33.52
2021-04-01,33.94
2021-03-01,32.06
2021-02-01,35.6
2021-01-01,35.64
2020-12-01,35.54
2020-11-01,36.64
2020-10-01,33.01
2020-09-01,34.1
2020-08-01,35.88
2020-07-01,32.32
2020-06-01,30.09
2020-05-01,27.79
2020-04-01,26.18
2020-03-01,22.72
2020-02-01,23.97
2020-01-01,25.48
2019-12-01,24.74
2019-11-01,25.26
2019-10-01,24.3
2019-09-01,23.3
2019-08-01,22.98
2019-07-01,23.45
2019-06-01,22.88
2019-05-01,21.26
2019-04-01,23.21
2019-03-01,22.06
2019-02-01,21.22
2019-01-01,20.65
2018-12-01,18.92
2018-11-01,23.37
2018-10-01,23.43
2018-09-01,27.22
2018-08-01,27.31
2018-07-01,25.81
2018-06-01,27.39
2018-05-01,27.11
2018-04-01,25.7
2018-03-01,27.2
2018-02-01,28.32
2018-01-01,28.72
2017-12-01,24.66
2017-11-01,24.54
2017-10-01,24.09
2017-09-01,25.49
2017-08-01,25.53
2017-07-01,25.06
2017-06-01,24.06
2017-05-01,25.35
2017-04-01,24.45
2017-03-01,23.81
2017-02-01,24.66
2017-01-01,23.68
2016-12-01,24.24
2016-11-01,23.98
2016-10-01,23.93
2016-09-01,24.3
2016-08-01,22.82
2016-07-01,22.62
2016-06-01,21.13
2016-05-01,22.3
2016-04-01,21.41
2016-03-01,22.11
2016-02-01,20.76
2016-01-01,21.14
